Image_Link,Species_Name,Common_Name
/afbid/search/browse/species/1274/28,Eurillas ansorgei (2),Ansorge's Greenbul
/afbid/search/browse/species/1277/28,Eurillas latirostris (3),Yellow-whiskered Greenbul
/afbid/search/browse/species/1996/28,Eurocephalus rueppelli (7),Northern White-crowned Shrike
/afbid/search/browse/species/334/28,Falco amurensis (1),Amur Falcon
/afbid/search/browse/species/329/28,Falco ardosiaceus (1),Grey Kestrel
/afbid/search/browse/species/322/28,Falco naumanni (2),Lesser Kestrel
/afbid/search/browse/species/342/28,Falco peregrinus (1),Peregrine Falcon
/afbid/search/browse/species/323/28,Falco tinnunculus (3),Common Kestrel
/afbid/search/browse/species/1162/28,Galerida theklae (1),Thekla's Lark
/afbid/search/browse/species/555/28,Gallinago gallinago (3),Common Snipe
/afbid/search/browse/species/558/28,Gallinago media (1),Great Snipe
/afbid/search/browse/species/556/28,Gallinago nigripennis (1),African Snipe
/afbid/search/browse/species/436/28,Gallinula chloropus (3),Common Moorhen
/afbid/search/browse/species/623/28,Gelochelidon nilotica (1),Gull-billed Tern
/afbid/search/browse/species/1453/28,Geokichla guttata (1),Spotted Ground Thrush
/afbid/search/browse/species/498/28,Glareola nuchalis (2),Rock Pratincole
/afbid/search/browse/species/830/28,Glaucidium perlatum (1),Pearl-spotted Owlet
/afbid/search/browse/species/2333/28,Granatina ianthinogaster (19),Purple Grenadier
/afbid/search/browse/species/348/28,Guttera pucherani (2),Eastern Crested Guineafowl
/afbid/search/browse/species/999/28,Gymnobucco bonapartei (4),Grey-throated Barbet
/afbid/search/browse/species/2177/28,Gymnoris pyrgita (4),Yellow-spotted Bush Sparrow
/afbid/search/browse/species/243/28,Gypohierax angolensis (1),Palm-nut Vulture
/afbid/search/browse/species/247/28,Gyps africanus (8),White-backed Vulture
/afbid/search/browse/species/248/28,Gyps rueppellii (4),Rüppell's Vulture
/afbid/search/browse/species/912/28,Halcyon albiventris (2),Brown-hooded Kingfisher
/afbid/search/browse/species/917/28,Halcyon chelicuti (2),Striped Kingfisher
/afbid/search/browse/species/913/28,Halcyon leucocephala (10),Grey-headed Kingfisher
/afbid/search/browse/species/916/28,Halcyon senegaloides (1),Mangrove Kingfisher
/afbid/search/browse/species/240/28,Haliaeetus vocifer (10),African Fish Eagle
/afbid/search/browse/species/1910/28,Hedydipna collaris (12),Collared Sunbird
/afbid/search/browse/species/1913/28,Hedydipna pallidigaster (6),Amani Sunbird
/afbid/search/browse/species/311/28,Hieraaetus wahlbergi (1),Wahlberg's Eagle
/afbid/search/browse/species/481/28,Himantopus himantopus (3),Black-winged Stilt
/afbid/search/browse/species/1520/28,Hippolais icterina (1),Icterine Warbler
/afbid/search/browse/species/1518/28,Hippolais olivetorum (1),Olive-tree Warbler
/afbid/search/browse/species/1516/28,Hippolais pallida (1),Eastern Olivaceous Warbler
/afbid/search/browse/species/1207/28,Hirundo aethiopica (1),Ethiopian Swallow
/afbid/search/browse/species/1209/28,Hirundo angolensis (3),Angola Swallow
/afbid/search/browse/species/1211/28,Hirundo rustica (1),Barn Swallow
/afbid/search/browse/species/1202/28,Hirundo smithii (4),Wire-tailed Swallow
/afbid/search/browse/species/2337/28,Hypargos niveoguttatus (2),Red-throated Twinspot
/afbid/search/browse/species/597/28,Ichthyaetus hemprichii (1),Sooty Gull
/afbid/search/browse/species/1513/28,Iduna natalensis (1),African Yellow Warbler
/afbid/search/browse/species/1514/28,Iduna similis (1),Mountain Yellow Warbler
/afbid/search/browse/species/1802/28,Illadopsis pyrrhoptera (2),Mountain Illadopsis
/afbid/search/browse/species/1048/28,Indicator indicator (2),Greater Honeyguide
/afbid/search/browse/species/1054/28,Indicator meliphilus (1),Pallid Honeyguide
/afbid/search/browse/species/1047/28,Indicator variegatus (3),Scaly-throated Honeyguide
/afbid/search/browse/species/1351/28,Irania gutturalis (2),White-throated Robin
/afbid/search/browse/species/921/28,Ispidina picta (3),African Pygmy Kingfisher
/afbid/search/browse/species/1056/28,Jynx ruficollis (1),Red-throated Wryneck
/afbid/search/browse/species/293/28,Kaupifalco monogrammicus (1),Lizard Buzzard
/afbid/search/browse/species/825/28,Ketupa lacteus (7),Verreaux's Eagle-Owl
/afbid/search/browse/species/2345/28,Lagonosticta senegala (1),Red-billed Firefinch
/afbid/search/browse/species/2123/28,Lamprotornis chalybaeus (7),Greater Blue-eared Starling
/afbid/search/browse/species/2124/28,Lamprotornis chloropterus (1),Lesser Blue-eared Starling
/afbid/search/browse/species/2139/28,Lamprotornis fischeri (9),Fischer’s Starling
/afbid/search/browse/species/2136/28,Lamprotornis hildebrandti (7),Hildebrandt's Starling
